amount,transaction_hour,account_age_days,num_prev_transactions,is_foreign,is_high_risk_country,has_chargeback_history,fraud_label
3648.69,10,1439,366,1,1,0,1
3757.1,11,3297,195,1,0,1,1
1258.12,12,3146,492,0,0,1,0
536.1,14,1571,257,1,0,0,0
2657.43,5,1783,11,0,1,1,1
4427.58,0,319,379,0,1,0,1
384.39,1,3540,379,1,0,1,1
4414.49,6,1539,166,1,1,0,1
3747.9,13,67,232,1,1,1,1
573.42,21,1785,255,0,0,1,0
331.42,15,204,129,0,1,1,0
2430.04,1,2040,161,0,0,0,0
593.6,15,1142,456,0,1,1,0
569.85,18,1301,388,1,1,1,1
2356.33,11,2739,78,1,1,0,0
3482.04,18,2203,434,1,0,1,1
4900.74,15,2597,436,1,0,1,1
2987.03,6,141,372,0,0,1,0
3954.29,16,2463,102,1,0,1,1
4690.62,4,1974,158,1,1,1,1
3010.02,18,3048,499,0,0,1,0
1784.36,21,735,34,0,0,0,0
812.9,18,581,497,0,0,0,0
2704.54,21,2790,263,0,1,0,0
1682.27,19,2237,39,0,1,1,0
36.2,3,3067,24,0,0,1,0
4252.56,5,1528,79,0,1,0,0
9.88,12,786,459,0,0,1,0
3692.88,10,1722,462,0,1,0,0
807.54,8,328,426,0,1,0,0
2593.76,20,1724,316,0,1,1,1
2468.92,10,1774,319,0,1,0,0
2799.87,0,2756,499,1,1,0,1
1610.61,23,3038,117,1,0,0,0
3015.96,3,1348,388,0,1,1,1
1952.03,20,1260,39,0,1,0,0
831.63,19,3967,417,1,1,1,1
2182.27,16,2169,270,0,1,0,0
422.3,12,2168,421,0,1,0,0
4400.68,22,1247,175,1,1,0,1
4048.87,1,2029,186,1,0,1,1
3251.32,10,672,152,1,0,1,1
2798.73,9,2418,159,1,1,1,1
1606.37,5,1318,346,0,1,1,0
3699.97,6,2686,473,1,0,1,1
3979.93,20,1923,279,1,0,1,1
4699.6,0,379,453,0,1,0,1
3783.14,15,1809,278,1,1,0,1
1162.78,21,169,21,0,1,0,0
1645.61,8,3967,432,0,0,0,0
1561.25,0,3497,371,1,1,0,1
2396.62,8,284,376,1,1,1,1
4939.15,3,3320,45,0,1,1,1
4751.05,20,3338,97,0,1,1,1
1990.77,23,1950,1,1,0,0,0
1324.52,22,2005,33,0,1,1,0
1238.47,22,665,70,1,1,0,0
141.14,10,3949,354,0,1,1,0
3334.08,13,943,421,0,1,0,0
3136.7,19,3518,202,0,1,1,1
2108.36,18,1803,29,0,0,1,0
70.28,2,2518,355,1,1,0,1
4910.57,4,2331,374,0,0,1,1
4710.0,10,868,295,1,1,0,1
3581.68,23,2089,296,1,0,1,1
4196.71,3,3470,250,0,1,1,1
114.47,4,2796,301,0,1,1,1
1556.96,13,3830,376,0,1,0,0
3182.58,6,1984,255,0,0,1,0
4060.79,5,534,114,0,1,0,0
3814.26,21,3288,213,0,0,1,0
3887.7,4,2690,467,0,1,1,1
4039.33,21,1079,118,1,1,1,1
3580.27,0,3368,260,1,0,1,1
426.35,4,3302,410,0,1,1,1
2966.79,0,117,326,0,0,0,0
3401.91,23,2490,448,1,1,0,1
88.99,4,1562,329,1,1,1,1
466.27,15,1584,216,0,0,1,0
4021.54,17,1546,11,1,1,1,1
4507.67,20,1920,223,0,1,1,1
2132.61,9,3898,193,1,0,0,0
3237.35,18,763,28,0,1,0,0
3601.87,20,295,303,0,1,1,1
1787.94,9,3070,393,1,0,0,0
4819.58,8,1866,418,1,1,1,1
4170.36,10,727,307,0,1,1,1
2741.91,4,1220,237,0,1,1,1
2627.26,6,3616,388,1,1,1,1
1996.75,16,1610,385,0,0,0,0
926.95,7,52,370,1,0,0,0
1242.05,0,3067,217,1,1,0,1
3319.11,22,999,315,0,0,0,0
1887.75,18,870,443,1,1,0,0
1749.7,8,1656,452,1,1,0,0
3464.09,19,2465,357,0,0,0,0
4549.4,16,3318,497,1,1,1,1
4786.37,21,3814,366,1,1,1,1
4174.14,16,589,403,1,1,1,1
1970.1,21,3853,289,1,0,1,0
4815.89,15,57,426,1,0,1,1
1017.17,18,3092,331,1,1,0,0
1291.09,19,1790,331,0,0,1,0
4423.81,11,904,325,1,1,1,1
2453.21,3,3931,108,0,1,1,1
1185.1,11,317,496,0,0,1,0
2732.53,4,2757,114,0,1,0,1
4344.79,1,3676,207,1,0,0,1
4511.8,16,2419,280,0,1,1,1
370.91,0,2296,411,1,0,0,0
2974.15,18,90,165,0,0,1,0
2002.18,23,253,198,0,1,1,0
3423.7,7,517,181,1,0,0,0
4771.67,3,2355,464,1,0,0,1
1518.88,5,1593,363,1,0,1,0
1723.5,6,2859,473,0,1,0,0
2976.75,23,3789,91,0,0,1,0
1068.03,0,1173,420,0,1,0,0
